Name,Location,Founded,Employee,About,Skills,Link
Wint Wealth - Data Scientist,Job available in Bangalore,Founded in 2020,50 - 200 employees,Wint Wealth is an investment products introducer and financial service providing platform for retail investors to invest in assets that give higher than fixed deposit returns but are less risky than equities.,"Python
Machine Learning
NLP
TensorFlow
Data Visualization",https://www.instahyre.com/job-295366-data-scientist-at-wint-wealth-bangalore/
Yubi - SSE,Job available in Chennai,Founded in 2020,500 - 1000 employees,"Yubi is a comprehensive enterprise and retail debt platform for lenders, and investors that offers full-stack technology-led solutions for the entire discovery, investment, and fulfillment of debt deals.","Python
Java
Data Structures
Algorithms",https://www.instahyre.com/job-295500-sse-at-yubi-chennai/
Bristol Myers Squibb - Cloud Computing Developer II,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,"Python
AWS
Node.js
Terraform
AWS CloudFormation",https://www.instahyre.com/job-295327-cloud-computing-developer-ii-at-bristol-myers-squibb-hyderabad/
Bristol Myers Squibb - Cloud Computing Engineer,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,"Python
Terraform
AWS
Script Writing
DevOps",https://www.instahyre.com/job-295311-cloud-computing-engineer-at-bristol-myers-squibb-hyderabad/
eloelo - SDE - 2,Job available in Bangalore,Founded in 2020,50 - 200 employees,"eloelo is India's 1st vernacular-friendly lifestyle platform with influencer-driven content, community, and gamified rewards specializing in the world of beauty, fashion, wellness, lifestyle and entertainment.","Python
Golang
Java",https://www.instahyre.com/job-295146-sde-2-at-eloelo-bangalore/
Freshworks - Lead Software Engineer - Backend,Job available in Chennai,Founded in 2010,More than 1000 employees,"Freshworks is a cloud-based business management applications provider company. The product portfolio includes customer support software, CRM software, IT service management software, call center software and more.","Python
Golang
Java
Node.js
Ruby
Hibernate
J2EE
+3",https://www.instahyre.com/job-295278-lead-software-engineer-backend-at-freshworks-chennai/
Freshworks - Staff Software Engineer,Job available in Chennai,Founded in 2010,More than 1000 employees,"Freshworks is a cloud-based business management applications provider company. The product portfolio includes customer support software, CRM software, IT service management software, call center software and more.","Python
Golang
Java
Ruby
Scala
Hibernate
J2EE
+3",https://www.instahyre.com/job-295295-staff-software-engineer-at-freshworks-chennai/
GreenBlock Technologies - Backend Developer,Job available in Bangalore,Founded in 2020,0 - 10 employees,GreenBlock Technologies is an IT company that gathers real-time data and creates immutable tamper-proof data records throughout the supply chain using Blockchain and IoT as a service.,"Python
Java
Node.js",https://www.instahyre.com/job-295166-backend-developer-at-greenblock-technologies-bangalore/
Heart It Out - Data Analyst (Internship),Job available in Bangalore,Founded in 2018,50 - 200 employees,"Heart It Out is a wellness service providing organization that specializes in offering mental health-care solutions, a wide range of therapy sessions, psychiatrist consultations, and more to the customers.","Python
Microsoft Excel
SQL
Tableau",https://www.instahyre.com/job-295227-data-analyst-internship-at-heart-it-out-bangalore/
nference - Software Engineer,Job available in Bangalore,Founded in 2013,200 - 500 employees,nference is an AI-powered firm that partners with medical centers to turn electronic medical records into software solutions while making biomedical knowledge computable for solving healthcare problems.,"Python
Spark
Django
NoSQL
Hadoop",https://www.instahyre.com/job-295165-software-engineer-at-nference-2-bangalore/
